id,name,ra,dec,distance,mag,absmag,spectrum
1857,,15.68653215,-44.66055926,17.5162024873008,4.64,3.4228003,F
1858,,15.69252564,19.67050566,58.9275191514437,4.51,0.65840924,A
1859,,15.6964977,12.84753869,70.0280112044818,5.34,1.113641,A
1860,,15.69911629,-19.67857446,122.549019607843,4.75,-0.6915492,K
1861,,15.71065342,-37.4248964,83.0564784053156,5.23,0.63313246,G
1862,,15.7113992,-34.71033325,121.359223300971,4.75,-0.67036396,B
1863,,15.71239951,26.29551419,44.4839857651246,3.81,0.5689815,A
1864,,15.71411754,52.36083046,97.0873786407767,5.48,0.5441861,B
1865,,15.73429554,77.79449901,115.207373271889,4.29,-1.0174013,A
1866,,15.73456121,-15.67267949,45.024763619991,5.41,2.1427429,A
1867,Unukalhai,15.7377766,6.42551971,22.4517287831163,2.63,0.87375104,K
1868,,15.76823606,-1.80411556,125.156445556946,5.39,-0.0972661,B
1869,,15.76978191,15.42192602,46.9263256687001,3.65,0.29291725,A
1870,,15.77409608,7.35323973,11.7536436295252,4.42,4.0691376,G
1871,,15.77776517,62.59969448,83.3333333333333,5.19,0.5859062,A
1872,,15.81233572,18.1417793,106.837606837607,4.09,-1.0536208,M
1873,,15.82658278,26.06854936,50.7356671740233,4.59,1.0634332,G
1874,,15.82701825,-3.43014112,47.7554918815664,3.54,0.14488338,A
1875,,15.83820259,2.19662489,80.6451612903226,5.21,0.6771084,G
1876,,15.84691422,4.4775798,21.5563699073076,3.71,2.042122,A
1877,,15.84931715,-33.62710488,63.0517023959647,3.97,-0.028484086,B
1878,,15.84965378,-25.75123489,160.0,4.63,-1.3906,B
1879,,15.85387148,35.65822638,31.1235605353252,4.79,2.3245537,K
1880,,15.8543465,-3.09042957,48.8519785051295,5.09,1.6455892,A
1881,,15.85442865,20.97787548,121.065375302663,4.74,-0.6750998,K
1882,,15.87783178,42.44998796,15.852885225111,4.6,3.5994585,F
1883,,15.88890578,-20.16699405,109.289617486339,5.04,-0.15289453,B
1884,,15.89353566,-25.32708018,132.978723404255,4.59,-1.0289108,B
1885,,15.89707695,-16.7296223,49.95004995005,4.13,0.63732034,K
1886,,15.89831199,-24.53309547,127.064803049555,5.38,-0.14012633,B
1887,,15.89885335,-23.97803598,120.481927710843,5.41,0.005390462,B
1888,,15.90962885,20.31086363,184.50184501845,5.45,-0.8800036,M
1889,,15.91052142,43.13840642,191.938579654511,5.35,-1.0658114,M
1890,,15.91911334,-63.42974973,12.3092072870507,2.83,2.3788495,F
1891,,15.9248926,-68.60298616,917.43119266055,5.11,-4.7028675,G
1892,,15.92987919,37.94676324,41.4593698175788,5.43,2.3418865,F
1893,,15.94083173,15.66473327,11.1209964412811,3.85,3.6192815,F
1894,,15.94807962,-29.21401221,125.470514429109,3.87,-1.6227084,B
1895,,15.9481893,-33.96602225,61.1620795107034,5.14,1.2075888,A
1896,,15.95980608,26.87802632,70.4225352112676,4.14,-0.09855828,K
1897,,15.96322025,54.74950359,33.8180588434224,4.96,2.3142567,F
1898,,15.96982674,-14.27931773,157.232704402516,4.95,-1.0327144,B
1899,,15.97635397,-24.83142974,149.700598802395,5.43,-0.4461177,B
1900,,15.98086685,-26.1140428,140.845070422535,2.89,-2.8537083,B
1901,,15.99174884,-41.74439602,116.414435389988,4.99,-0.3400342,G
1902,,16.00203902,-38.39664079,151.285930408472,3.42,-2.4789927,B
1903,,16.00554968,-16.53238334,32.797638570023,5.47,2.8907871,F
1904,,16.00555881,-22.62162024,123.152709359606,2.29,-3.1622198,B
1905,,16.01744416,33.30538815,17.4276751481352,5.39,4.1838026,G
1906,,16.02065165,17.81802578,94.5179584120983,5.1,0.22242834,G
1907,,16.02405295,29.85107821,107.642626480086,4.98,-0.17992143,A
1908,,16.03158437,58.56443739,20.9248796819418,4.01,2.406685,F
1909,,16.03824696,22.80439543,54.2888165038002,4.82,1.1464481,A
1910,,16.0466253,46.03685378,115.207373271889,4.72,-0.5874014,B
1911,,16.05357227,-49.22972074,66.8002672010688,4.65,0.526109,G
1912,,16.05574082,-25.86514891,64.9772579597141,4.96,0.8961931,K
1913,,16.05672293,-38.60247122,161.550888529887,4.9,-1.1415467,B
1914,,16.05895029,-57.77487351,42.9922613929493,4.63,1.4630486,A
1915,,16.0906208,-19.80539286,162.60162601626,2.56,-3.4956243,B
1916,,16.09071534,-19.80184191,347.222222222222,4.9,-2.8030376,B
1917,,16.10548112,67.80998136,83.8926174496644,5.44,0.8213813,A
1918,,16.10817322,-45.17327517,37.8644452858766,4.73,1.838842,A
1919,,16.10987675,-36.80221297,125.944584382872,4.22,-1.2808975,B
1920,,16.11345346,-20.66913479,129.87012987013,3.93,-1.6375464,B
1921,,16.1234167,-20.8686541,81.1688311688312,4.31,-0.23694646,G
1922,,16.13459624,17.04699349,119.047619047619,5.0,-0.37860358,G
1923,,16.13542248,-26.32666483,130.378096479791,5.35,-0.22602318,M
1924,,16.14616647,44.93481883,70.0770847932726,4.23,0.0021198655,B
1925,,16.14953571,36.49010935,34.6740638002774,4.73,2.0299764,K
1926,,16.16403676,-3.46673076,151.515151515152,5.39,-0.51228034,K
1927,,16.16461312,-33.54569572,132.802124833997,5.5,-0.11602512,B
1928,,16.18042458,75.87753079,204.081632653061,5.48,-1.0690196,B
1929,,16.18392418,-29.41600661,78.3085356303837,5.09,0.6209545,K
1930,,16.19992791,-19.46064684,133.868808567604,4.0,-1.633397,B
1931,,16.20000043,-10.06418514,50.5305709954523,4.93,1.412229,A
1932,,16.20202481,-8.54757943,76.6283524904214,5.43,1.0080526,A
1933,,16.20505881,-27.92631564,143.472022955524,4.58,-1.2038361,B
1934,,16.22094671,5.0210989,130.208333333333,5.46,-0.1131939,K
1935,,16.22464842,-54.63041289,134.228187919463,4.95,-0.68921864,G
1936,,16.23080791,-11.83772219,134.589502018843,5.24,-0.40505594,K
1937,,16.23910173,-3.69397562,52.1920668058455,2.73,-0.85802245,M
1938,,16.24473355,33.85882404,21.6872695727608,5.23,3.5489757,F
1939,,16.25426315,-47.37190984,90.4159132007233,5.13,0.34877563,B
1940,,16.25729615,-63.68564897,190.47619047619,3.86,-2.5392034,G
1941,,16.26031482,-8.36823651,14.0252454417952,5.49,4.755448,G
1942,,16.27868605,-53.81110764,246.913580246914,5.45,-1.5127249,M
1943,,16.28359319,-50.06811224,440.528634361233,4.97,-3.2498708,F
1944,,16.28759407,59.75496116,201.612903225806,5.37,-1.1525916,M
1945,,16.29180584,75.75470385,29.8329355608592,4.95,2.57652,F
1946,,16.30497801,-28.61377598,43.0477830391735,4.8,1.630246,A
1947,,16.30534466,-4.69260809,32.95978905735,3.23,0.6400779,G
1948,,16.32156678,-42.67394008,143.472022955524,5.44,-0.3438361,A
1949,,16.3290133,46.31327084,96.4320154291225,3.91,-1.0111063,B
1950,,16.33071322,-50.15537923,39.0930414386239,4.01,1.0495027,G
1951,,16.33201134,39.70859042,26.816840976133,5.48,3.337962,F
1952,,16.33912085,-78.69565609,234.741784037559,4.68,-2.172952,M
1953,,16.34079548,-78.66742066,203.252032520325,5.27,-1.2701745,K
1954,,16.34393983,-24.16928427,361.01083032491,4.55,-3.237601,A
1955,,16.35314514,-25.59275259,225.225225225225,2.9,-3.863085,B
1956,,16.36353927,69.10941712,90.1713255184851,5.26,0.48465773,K
1957,,16.36534546,19.15302185,59.9161174355902,3.74,-0.14771831,A
1958,,16.3679,1.02892219,27.3522975929978,4.82,2.635031,F
1959,,16.36830281,30.89173424,56.3063063063063,4.86,1.1072148,K
1960,,16.37261707,33.79914473,170.357751277683,5.2,-0.9568095,M
1961,,16.37444614,-49.57229123,170.648464163823,5.32,-0.8405119,B
1962,,16.37478397,33.70335685,167.224080267559,5.4,-0.7164941,K
1963,,16.39986301,61.51407536,26.8961807423346,2.73,0.5815469,G
1964,,16.4003431,-39.19298857,12.8716694555284,5.37,4.8218255,G
1965,,16.40172146,-20.03721137,54.5851528384279,4.48,0.79462737,K
1966,,16.40882371,-37.56597007,143.472022955524,5.42,-0.3638361,B
1967,,16.41103504,-29.70446361,31.4267756128221,5.4,2.9135008,G
1968,,16.42359154,14.03341514,72.0980533525595,4.57,0.2803823,B
1969,,16.42642254,-23.44711764,120.918984280532,4.57,-0.84247243,B
1970,,16.45039952,-18.45619698,149.925037481259,4.22,-1.6593708,B
1971,,16.45306883,-47.5547359,122.549019607843,4.46,-0.9815492,B
1972,,16.46207137,-7.59755617,155.52099533437,5.24,-0.71894515,M
1973,,16.46339637,-8.37170055,37.4953130858643,4.62,1.750115,A
1974,,16.46590946,-64.05800515,40.4040404040404,5.28,2.247876,F
1975,,16.46640365,68.76805491,150.602409638554,4.94,-0.9491596,A
1976,,16.47438923,-70.08467012,12.1050720251786,4.9,4.485163,F
1977,,16.4761048,0.66516717,129.533678756477,5.41,-0.1519135,K
1978,,16.47736803,41.88169065,110.741971207087,4.83,-0.39156124,M
1979,Antares,16.49012986,-26.43194608,185.185185185185,1.06,-5.2780313,M
1980,,16.49509179,-46.24321937,366.300366300366,5.35,-2.4691868,B
1981,,16.50346608,-25.11515935,120.481927710843,4.79,-0.61460954,B
1982,,16.50368379,21.4896485,45.3103760761214,2.78,-0.5009883,G
1983,,16.50933449,20.47934589,232.558139534884,5.24,-1.5926577,G
1984,,16.51371485,-61.63348127,205.338809034908,5.19,-1.3723552,K
1985,,16.51523367,1.98410056,50.9424350483953,3.82,0.2846015,A
1986,,16.51899859,-16.61264015,64.3915003219575,4.29,0.24585728,G
